Measured X30cm	
-82.36875	58.34916115
-81.86875	58.34916115
-81.56875	58.34916115
-81.06875	58.34916115
-80.76875	58.52651423
-80.36875	58.52651423
-80.06875	58.7038673
-79.76875	58.7038673
-79.26875	58.88122037
-78.76875	59.05857345
-78.26875	59.05857345
-77.76875	59.05857345
-77.46875	59.05857345
-77.06875	59.05857345
-76.76875	59.23592652
-76.26875	59.23592652
-75.96875	59.23592652
-75.56875	59.41327959
-75.16875	59.41327959
-74.76875	59.59063267
-74.46875	59.59063267
-74.16875	59.76798574
-73.76875	59.76798574
-73.36875	59.94533882
-72.86875	59.94533882
-72.46875	59.94533882
-71.86875	60.12269189
-71.36875	60.30004496
-71.06875	60.30004496
-70.66875	60.30004496
-70.36875	60.47739804
-69.86875	60.47739804
-69.36875	60.65475111
-68.86875	60.65475111
-68.56875	60.83210418
-68.06875	61.00945726
-67.76875	61.00945726
-67.36875	61.00945726
-67.06875	61.18681033
-66.76875	61.18681033
-66.46875	61.18681033
-66.06875	61.18681033
-65.46875	61.3641634
-65.06875	61.54151648
-64.76875	61.54151648
-64.26875	61.71886955
-63.96875	61.71886955
-63.66875	61.71886955
-63.16875	61.89622262
-62.76875	61.89622262
-62.46875	61.89622262
-62.16875	62.0735757
-61.66875	62.0735757
-61.36875	62.0735757
-60.86875	62.25092877
-60.36875	62.25092877
-59.86875	62.42828184
-59.36875	62.60563492
-59.06875	62.60563492
-58.66875	62.78298799
-58.36875	62.78298799
-58.06875	62.78298799
-57.66875	62.96034106
-57.36875	62.96034106
-56.86875	63.13769414
-56.56875	63.13769414
-56.16875	63.13769414
-55.76875	63.31504721
-55.26875	63.31504721
-54.86875	63.49240028
-54.56875	63.49240028
-54.26875	63.49240028
-53.96875	63.66975336
-53.56875	63.66975336
-53.26875	63.84710643
-52.76875	63.84710643
-52.46875	64.0244595
-52.06875	64.0244595
-51.76875	64.20181258
-51.46875	64.20181258
-51.16875	64.20181258
-50.76875	64.37916565
-50.46875	64.37916565
-49.96875	64.37916565
-49.36875	64.55651872
-48.86875	64.55651872
-48.46875	64.7338718
-48.16875	64.7338718
-47.86875	64.7338718
-47.36875	64.91122487
-46.96875	64.91122487
-46.66875	64.91122487
-46.36875	65.08857794
-45.86875	65.08857794
-45.36875	65.26593102
-44.86875	65.26593102
-44.56875	65.26593102
-44.06875	65.44328409
-43.76875	65.44328409
-43.36875	65.62063716
-42.96875	65.62063716
-42.56875	65.62063716
-42.26875	65.79799024
-41.76875	65.79799024
-41.46875	65.97534331
-41.06875	65.97534331
-40.66875	65.97534331
-40.26875	66.15269638
-39.76875	66.15269638
-39.46875	66.15269638
-39.16875	66.33004946
-38.76875	66.33004946
-38.46875	66.50740253
-38.16875	66.50740253
-37.76875	66.50740253
-37.46875	66.50740253
-37.16875	66.68475561
-36.66875	66.68475561
-36.16875	66.86210868
-35.86875	66.86210868
-35.46875	66.86210868
-35.16875	67.03946175
-34.66875	67.03946175
-34.26875	67.21681483
-33.96875	67.21681483
-33.66875	67.21681483
-33.36875	67.3941679
-32.76875	67.3941679
-32.36875	67.3941679
-32.06875	67.3941679
-31.66875	67.57152097
-31.36875	67.57152097
-31.06875	67.57152097
-30.56875	67.57152097
-30.26875	67.74887405
-29.76875	67.74887405
-29.46875	67.74887405
-28.96875	67.92622712
-28.56875	67.92622712
-28.26875	68.10358019
-27.96875	68.10358019
-27.56875	68.10358019
-27.16875	68.10358019
-26.76875	68.28093327
-26.46875	68.28093327
-26.16875	68.10358019
-25.76875	68.10358019
-25.46875	68.28093327
-24.86875	68.28093327
-24.36875	68.28093327
-23.86875	68.45828634
-23.36875	68.45828634
-22.96875	68.63563941
-22.66875	68.63563941
-22.36875	68.81299249
-22.06875	68.81299249
-21.56875	68.81299249
-21.16875	68.81299249
-20.86875	68.81299249
-20.56875	68.81299249
-20.16875	68.99034556
-19.86875	68.99034556
-19.56875	68.99034556
-19.26875	68.99034556
-18.76875	68.99034556
-18.26875	69.16769863
-17.86875	69.16769863
-17.46875	69.16769863
-17.06875	69.34505171
-16.76875	69.34505171
-16.26875	69.34505171
-15.96875	69.34505171
-15.56875	69.34505171
-15.26875	69.34505171
-14.96875	69.52240478
-14.46875	69.52240478
-14.16875	69.52240478
-13.66875	69.52240478
-13.36875	69.52240478
-12.96875	69.52240478
-12.66875	69.52240478
-12.16875	69.52240478
-11.86875	69.52240478
-11.46875	69.52240478
-11.16875	69.52240478
-10.86875	69.69975785
-10.56875	69.69975785
-10.16875	69.69975785
-9.86875	69.69975785
-9.56875	69.69975785
-9.16875	69.69975785
-8.86875	69.69975785
-8.56875	69.87711093
-8.06875	69.87711093
-7.56875	69.69975785
-7.26875	69.69975785
-6.76875	69.87711093
-6.26875	69.87711093
-5.76875	69.87711093
-5.26875	69.87711093
-4.76875	69.87711093
-4.46875	69.87711093
-3.96875	69.87711093
-3.56875	69.87711093
-3.26875	69.87711093
-2.96875	69.87711093
-2.46875	69.87711093
-1.96875	69.87711093
-1.36875	69.87711093
-0.96875	70.054464
-0.66875	70.054464
-0.16875	70.054464
