"sdf_x","sdf_y"
271.5,0.2097417205,
272.5,0.2120886685,
273.5,0.2065419082,
274.5,0.2037391912,
275.5,0.2066718286,
276.5,0.2010831584,
277.5,0.205344336,
278.5,0.2047198802,
279.5,0.2019077335,
280.5,0.2010873494,
281.5,0.1966103364,
282.5,0.2011858374,
283.5,0.1923837344,
284.5,0.1913150348,
285.5,0.1943555899,
286.5,0.190005354,
287.5,0.1906853403,
288.5,0.193349755,
289.5,0.1914082841,
290.5,0.1807694846,
291.5,0.1858300914,
292.5,0.1850589514,
293.5,0.180796726,
294.5,0.1861800382,
295.5,0.1842186601,
296.5,0.1834831434,
297.5,0.1762872329,
298.5,0.1799260502,
299.5,0.1802288484,
300.5,0.1759519546,
301.5,0.1756763978,
302.5,0.173906757,
303.5,0.1681829278,
304.5,0.1720030049,
305.5,0.1672556738,
306.5,0.1684595324,
307.5,0.1676967743,
308.5,0.1685800231,
309.5,0.166774759,
310.5,0.1682625564,
311.5,0.1653445875,
312.5,0.1626414062,
313.5,0.1612217122,
314.5,0.1628635281,
315.5,0.1628677191,
316.5,0.1632920557,
317.5,0.1587081727,
318.5,0.1587312231,
319.5,0.1588600957,
320.5,0.1582869794,
321.5,0.1535291708,
322.5,0.1536370885,
323.5,0.1507526474,
324.5,0.1533782955,
325.5,0.1504802338,
326.5,0.1448768952,
327.5,0.1484046516,
328.5,0.1497321441,
329.5,0.1455621203,
330.5,0.1463133532,
331.5,0.1426651062,
332.5,0.1451461656,
333.5,0.1444190308,
334.5,0.1398602937,
335.5,0.1378276691,
336.5,0.1375395393,
337.5,0.142259629,
338.5,0.1449397599,
339.5,0.1384018331,
340.5,0.1409216591,
341.5,0.1384793662,
342.5,0.1335874463,
343.5,0.1331012928,
344.5,0.1334889583,
345.5,0.1305343184,
346.5,0.1324066381,
347.5,0.1306443315,
348.5,0.1284650226,
349.5,0.1271060978,
350.5,0.124753911,
351.5,0.1276383521,
352.5,0.1276697844,
353.5,0.1257346,
354.5,0.1270589493,
355.5,0.1280522112,
356.5,0.1272045858,
357.5,0.12548838,
358.5,0.121852706,
359.5,0.1201029723,
360.5,0.1213717912,
361.5,0.1210490858,
362.5,0.1190196044,
363.5,0.117671157,
364.5,0.1164159588,
365.5,0.1147207079,
366.5,0.1133052049,
367.5,0.1139149923,
368.5,0.1129510672,
369.5,0.1126220754,
370.5,0.1124659614,
371.5,0.1107916654,
372.5,0.1080759112,
373.5,0.1103170371,
374.5,0.1095259898,
375.5,0.1110525538,
376.5,0.1090607912,
377.5,0.1110336944,
378.5,0.1073508719,
379.5,0.1075604208,
380.5,0.1051034595,
381.5,0.1078401686,
382.5,0.1107675673,
383.5,0.1017090811,
384.5,0.1018108171,
385.5,0.1036401793,
386.5,0.1023226404,
387.5,0.1052134727,
388.5,0.1016609896,
389.5,0.09922435462,
390.5,0.1002616218,
391.5,0.1000510252,
392.5,0.1011826942,
393.5,0.1022420688,
394.5,0.09952118068,
395.5,0.0984648445,
396.5,0.09734396724,
397.5,0.09729451369,
398.5,0.09511782413,
399.5,0.09042455662,
